oid,name,entity,access,risk_level,recommended_role,danger_signals,description
1.3.6.1.4.1.3902.3.302.12.1.4,globalAlarmType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Global alarm type.
1.3.6.1.4.1.3902.3.302.12.1.25,globalAlarmUlPrtGroupWrkStat,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Global alarm protected group work status.
1.3.6.1.4.1.3902.3.302.12.1.35,globalAlarmUpdatedMs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Global alarm updated millisecond.
1.3.6.1.4.1.3902.3.302.12.1.18,globalAlarmUpdatedTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"Global alarm updated time, the time is relative to 1970-01-01 00:00:00."
1.3.6.1.4.1.3902.3.302.2.1.3,hisAlarmClass,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm class.
1.3.6.1.4.1.3902.3.302.2.1.2,hisAlarmCode,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm code.
1.3.6.1.4.1.3902.3.302.2.1.15,hisAlarmComment,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm comment.
1.3.6.1.4.1.3902.3.302.2.1.13,hisAlarmDescription,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm description.
1.3.6.1.4.1.3902.3.302.2.1.36,hisAlarmDisappearedMs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm disappeared millisecond.
1.3.6.1.4.1.3902.3.302.2.1.8,hisAlarmDisappearedTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"History alarm disappeared time, the time is relative to 1970-01-01 00:00:00."
1.3.6.1.4.1.3902.3.302.2.1.1,hisAlarmFlowID,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm Index.
1.3.6.1.4.1.3902.3.302.2.1.17,hisAlarmGlobalFlowID,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm global index.
1.3.6.1.4.1.3902.3.302.2.1.5,hisAlarmLevel,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm level.
1.3.6.1.4.1.3902.3.302.2.1.16,hisAlarmNetID,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm NetID.
1.3.6.1.4.1.3902.3.302.2.1.34,hisAlarmOccuredMs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm occured millisecond.
1.3.6.1.4.1.3902.3.302.2.1.7,hisAlarmOccuredTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"History alarm occured time, the time is relative to 1970-01-01 00:00:00."
1.3.6.1.4.1.3902.3.302.2.1.11,hisAlarmParaType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"History alarm paratype, the alarm is sent by."
1.3.6.1.4.1.3902.3.302.2.1.12,hisAlarmParaValue,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"History alarm paravalue, the alarm is sent by."
1.3.6.1.4.1.3902.3.302.2.1.23,hisAlarmProtectType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm protected type.
1.3.6.1.4.1.3902.3.302.2.1.22,hisAlarmReturnMode,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm revert type.
1.3.6.1.4.1.3902.3.302.2.1.6,hisAlarmStatus,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm status.
1.3.6.1.4.1.3902.3.302.2.1.14,hisAlarmStdCode,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm standard code.
1.3.6.1.4.1.3902.3.302.2.1.24,hisAlarmSwitchReason,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm switch reason.
1.3.6.1.4.1.3902.3.302.2.1.10,hisAlarmTPID,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm check point.
1.3.6.1.4.1.3902.3.302.2.1.31,hisAlarmTPIDLen,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The length of history alarm check point.
1.3.6.1.4.1.3902.3.302.2.1.32,hisAlarmTPIDLenSwitchFrom,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The length of check point which switch from.
1.3.6.1.4.1.3902.3.302.2.1.33,hisAlarmTPIDLenSwitchTo,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The length of check point which switch to.
1.3.6.1.4.1.3902.3.302.2.1.27,hisAlarmTPIDSwitchFrom,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Which check point switch from.
1.3.6.1.4.1.3902.3.302.2.1.29,hisAlarmTPIDSwitchTo,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Which check point switch to.
1.3.6.1.4.1.3902.3.302.2.1.9,hisAlarmTPIDType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm check point type.
1.3.6.1.4.1.3902.3.302.2.1.26,hisAlarmTPIDTypeSwitchFrom,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Which check point type switch from.
1.3.6.1.4.1.3902.3.302.2.1.28,hisAlarmTPIDTypeSwitchTo,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Which check point type switch to.
1.3.6.1.4.1.3902.3.302.2.1.19,hisAlarmThAlmPeriod,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm period.
1.3.6.1.4.1.3902.3.302.2.1.20,hisAlarmThAlmType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm threshold crossing type.
1.3.6.1.4.1.3902.3.302.2.1.21,hisAlarmThPerfValue,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm performance value.
1.3.6.1.4.1.3902.3.302.2.1.30,hisAlarmTimestamp,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"History alarm timestamp, corresponding to time, can fix an alarm with serial number when the device restarts."
1.3.6.1.4.1.3902.3.302.2.1.4,hisAlarmType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"History alarm type, 0:at-Communicationsalarm, 1:at-Qosalarm, 2:at-Equipmentalarm, 3:at-Processingerroralarm, 4:at-Environmentalalarm."
1.3.6.1.4.1.3902.3.302.2.1.25,hisAlarmUlPrtGroupWrkStat,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm protected group work status.
1.3.6.1.4.1.3902.3.302.2.1.35,hisAlarmUpdatedMs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,History alarm Updated millisecond.
1.3.6.1.4.1.3902.3.302.2.1.18,hisAlarmUpdatedTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"History alarm Updated time, the time is relative to 1970-01-01 00:00:00."
1.3.6.1.4.1.3902.3.302.6.1.2,notificationAlmCode,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification alarm code.
1.3.6.1.4.1.3902.3.302.6.1.12,notificationAlmComment,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification alarm comment.
1.3.6.1.4.1.3902.3.302.6.1.10,notificationAlmDescription,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification alarm description.
1.3.6.1.4.1.3902.3.302.6.1.4,notificationAlmLevel,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification alarm level.
1.3.6.1.4.1.3902.3.302.6.1.13,notificationAlmNetID,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification alarm netID.
1.3.6.1.4.1.3902.3.302.6.1.16,notificationAlmOccuredMs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification occured millisecond.
1.3.6.1.4.1.3902.3.302.6.1.5,notificationAlmOccuredTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"Notification occured time, the time is relative to 1970-01-01 00:00:00."
1.3.6.1.4.1.3902.3.302.6.1.8,notificationAlmParaType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"Notification alarm paratype, the alarm is sent by."
1.3.6.1.4.1.3902.3.302.6.1.9,notificationAlmParaValue,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"Notification alarm paravalue, the alarm is sent by."
1.3.6.1.4.1.3902.3.302.6.1.11,notificationAlmStdCode,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification alarm standard code.
1.3.6.1.4.1.3902.3.302.6.1.3,notificationAlmType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification alarm type.
1.3.6.1.4.1.3902.3.302.6.1.1,notificationFlowID,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Notification Index.
1.3.6.1.4.1.3902.3.302.6.1.17,notificationNeedConfirm,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,If the notification need confirm.
1.3.6.1.4.1.3902.1082.30.20.2.2.4.1.4,zxAnAtmPvcIfActualEncapsType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Actual Encapsulation type of this ATM PVC.
1.3.6.1.4.1.3902.1082.10.10.2.1.15.1.5,zxAnCardEnvHMinVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The average voltage of card in the historical 5 minutes or 15 minutes.
1.3.6.1.4.1.3902.1082.10.10.2.1.6.1.4,zxAnCardVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Voltage of the card.
1.3.6.1.4.1.3902.1082.10.1.1.100,zxAnChassisCapabilities,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The chassis management capabilities of this equipment.
1.3.6.1.4.1.3902.1082.10.1.1.2,zxAnChassisSysLastRebootReason,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"It indicates device coldstart or warmstart reason byCli(1) warmstart by command, byNms(2) warmstart by network management, byWatchdog(3) warmstart by watchdog, …"
1.3.6.1.4.1.3902.1082.10.1.1.3,zxAnChassisSysLastSwapReason,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"Last swap request,such as force,plug-out or others."
1.3.6.1.4.1.3902.1082.10.1.1.5,zxAnChassisSysRebootTimes,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The system rebooting times
1.3.6.1.4.1.3902.1082.10.10.2.3.1.6,zxAnEnvEmergencyBatteryVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current voltage of the battery.
1.3.6.1.4.1.3902.1082.10.10.2.1.5.1.8,zxAnEnvShelfVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Voltage of the shelf.
1.3.6.1.4.1.3902.1082.30.20.2.2.3.1.6,zxAnEtherIfActualConnectorType,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The actual connector for this interface.
1.3.6.1.4.1.3902.1082.30.20.2.2.3.1.3,zxAnEtherIfActualDuplex,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The actual duplex for this interface.
1.3.6.1.4.1.3902.1082.30.20.2.2.3.1.4,zxAnEtherIfActualSpeed,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The actual speed for this interface.
1.3.6.1.4.1.3902.1082.10.10.2.4.10.1.22,zxAnFanTrayVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Voltage of the fan tray.
1.3.6.1.4.1.3902.1082.30.20.2.2.2.1.3,zxAnIfConfLastLinkDownTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The time that the link of interface is down.
1.3.6.1.4.1.3902.1082.30.20.2.2.2.1.4,zxAnIfConfLastLinkUpTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The time that the link of interface is up.
1.3.6.1.4.1.3902.1082.30.45.2.11.1.3,zxAnOptChanC15MBiasCurrent,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module channel bias current in current 15-minute interval.
1.3.6.1.4.1.3902.1082.30.45.2.11.1.1,zxAnOptChanC15MTimeElapsed,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The number of seconds that have elapsed since the beginning of the current 15-minute interval.
1.3.6.1.4.1.3902.1082.30.45.2.12.1.3,zxAnOptChanC1DBiasCurrent,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module channel bias current in current 1-day interval.
1.3.6.1.4.1.3902.1082.30.45.2.12.1.1,zxAnOptChanC1DTimeElapsed,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The number of seconds that have elapsed since the beginning of the current 1-day interval.
1.3.6.1.4.1.3902.1082.30.45.2.15.1.3,zxAnOptChanCMinBiasCurrent,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module channel bias current in current minutes interval.
1.3.6.1.4.1.3902.1082.30.45.2.15.1.1,zxAnOptChanCMinTimeElapsed,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The number of seconds that have elapsed since the beginning of the current minutes interval.
1.3.6.1.4.1.3902.1082.30.45.2.13.1.5,zxAnOptChanH15MBiasCurrent,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module channel bias current in historical 15-minute interval.
1.3.6.1.4.1.3902.1082.30.45.2.13.1.3,zxAnOptChanH15MDateTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The 15-minute interval performance data generation time.
1.3.6.1.4.1.3902.1082.30.45.2.13.1.2,zxAnOptChanH15MIntervalValidData,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Performance data valid flag.
1.3.6.1.4.1.3902.1082.30.45.2.14.1.5,zxAnOptChanH1DBiasCurrent,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module channel bias current in historical 1-day interval.
1.3.6.1.4.1.3902.1082.30.45.2.14.1.3,zxAnOptChanH1DDateTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The 1-day interval performance data generation time.
1.3.6.1.4.1.3902.1082.30.45.2.14.1.2,zxAnOptChanH1DIntervalValidData,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Performance data valid flag.
1.3.6.1.4.1.3902.1082.30.45.2.16.1.5,zxAnOptChanHMinBiasCurrent,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module channel bias current in historical minutes interval.
1.3.6.1.4.1.3902.1082.30.45.2.16.1.3,zxAnOptChanHMinDateTime,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The minutes interval performance data generation time.
1.3.6.1.4.1.3902.1082.30.45.2.16.1.2,zxAnOptChanHMinIntervalValidData,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Performance data valid flag.
1.3.6.1.4.1.3902.1082.30.45.2.3.1.5,zxAnOpticalC15MSupplyVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module supply voltage value in current 15-minute interval.
1.3.6.1.4.1.3902.1082.30.45.2.4.1.5,zxAnOpticalC1DSupplyVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module supply voltage value in current 1-day interval.
1.3.6.1.4.1.3902.1082.30.45.2.7.1.5,zxAnOpticalCMinSupplyVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module supply voltage value in current minutes interval.
1.3.6.1.4.1.3902.1082.30.45.2.5.1.7,zxAnOpticalH15MSupplyVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module supply voltage value in historical 15-minute interval.
1.3.6.1.4.1.3902.1082.30.45.2.6.1.7,zxAnOpticalH1DSupplyVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module supply voltage value in historical 1-day interval.
1.3.6.1.4.1.3902.1082.30.45.2.8.1.7,zxAnOpticalHMinSupplyVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module supply voltage value in historical minutes interval.
1.3.6.1.4.1.3902.1082.30.40.2.4.1.6,zxAnOpticalSupplyVoltage,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The optical module supply voltage.
1.3.6.1.4.1.3902.1082.30.20.2.2.5.1.5,zxAnOutOfBandIfActualDuplex,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The actual duplex for this interface.
1.3.6.1.4.1.3902.1082.30.20.2.2.5.1.6,zxAnOutOfBandIfActualSpeed,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The actual speed for this interface.
1.3.6.1.4.1.3902.1082.30.20.2.2.5.1.3,zxAnOutOfBandIfLinkStatus,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current operational state of the interface.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.70,zxAnPonOltIfC15MCollisions,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval best estimate of collisions on this olt interface.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.71,zxAnPonOltIfC15MDropEvents,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval events in which packets were dropped by the probe due to lack of resources.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.18,zxAnPonOltIfC15MRx1024To1518Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) received that were between 1024 and 1518 octets in length inclusive (excluding framing bits but …
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.15,zxAnPonOltIfC15MRx128To255Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) received that were between 128 and 255 octets in length inclusive (excluding framing bits but in…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.16,zxAnPonOltIfC15MRx256To511Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) received that were between 256 and 511 octets in length inclusive (excluding framing bits but in…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.17,zxAnPonOltIfC15MRx512To1023Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) received that were between 512 and 1023 octets in length inclusive (excluding framing bits but i…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.13,zxAnPonOltIfC15MRx64Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) received that were 64 octets in length (excluding framing bits but including FCS octets).
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.14,zxAnPonOltIfC15MRx65To127Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) received that were between 65 and 127 octets in length inclusive (excluding framing bits but inc…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.7,zxAnPonOltIfC15MRxBcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets received that were directed to the broadcast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.55,zxAnPonOltIfC15MRxCorrFecCodes,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval correct FEC codes received.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.10,zxAnPonOltIfC15MRxCrcAlignErrors,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets received that had a length (excluding framing bits, but including FCS octets) of between 64 and 1518 octets, inclusive, …"
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.8,zxAnPonOltIfC15MRxDiscardPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval discarded packets received.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.56,zxAnPonOltIfC15MRxErrFecCodes,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval errored FEC codes received.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.9,zxAnPonOltIfC15MRxErrPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval error packets received.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.19,zxAnPonOltIfC15MRxFragments,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets received that were less than 64 octets in length (excluding framing bits but including FCS octets) and had either a bad …
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.20,zxAnPonOltIfC15MRxJabbers,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets received that were longer than 1518 octets (excluding framing bits, but including FCS octets), and had either a bad Fram…"
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.6,zxAnPonOltIfC15MRxMcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets received that were directed to a multicast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.5,zxAnPonOltIfC15MRxNUcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets received that were directed to a non-unicast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.2,zxAnPonOltIfC15MRxOctets,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval octets of data (including those in bad packets) received on the network (excluding framing bits but including FCS octets).
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.12,zxAnPonOltIfC15MRxOversizePkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets received that were longer than 1518 octets (excluding framing bits, but including FCS octets) and were otherwise well fo…"
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.3,zxAnPonOltIfC15MRxPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets (including bad packets, broadcast packets, and multicast packets) received."
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.4,zxAnPonOltIfC15MRxUcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets received that were directed to a unicast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.11,zxAnPonOltIfC15MRxUndersizePkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets received that were less than 64 octets long (excluding framing bits, but including FCS octets) and were otherwise well f…"
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.1,zxAnPonOltIfC15MTimeElapsed,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,Number of seconds that have elapsed since the beginning of the current 15 minutes interval.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.52,zxAnPonOltIfC15MTx1024To1518Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) transmitted that were between 1024 and 1518 octets in length inclusive (excluding framing bits b…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.49,zxAnPonOltIfC15MTx128To255Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) transmitted that were between 128 and 255 octets in length inclusive (excluding framing bits but…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.50,zxAnPonOltIfC15MTx256To511Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) transmitted that were between 256 and 511 octets in length inclusive (excluding framing bits but…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.51,zxAnPonOltIfC15MTx512To1023Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) transmitted that were between 512 and 1023 octets in length inclusive (excluding framing bits bu…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.48,zxAnPonOltIfC15MTx65To127Octs,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) transmitted that were between 65 and 127 octets in length inclusive (excluding framing bits but …
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.41,zxAnPonOltIfC15MTxBcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets transmitted that were directed to the broadcast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.44,zxAnPonOltIfC15MTxCrcAlignErrors,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets transmitted that had a length (excluding framing bits, but including FCS octets) of between 64 and 1518 octets, inclusiv…"
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.42,zxAnPonOltIfC15MTxDiscardPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval discarded packets transmitted.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.43,zxAnPonOltIfC15MTxErrPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval error packets transmitted.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.53,zxAnPonOltIfC15MTxFragments,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets transmitted that were less than 64 octets in length (excluding framing bits but including FCS octets) and had either a b…
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.54,zxAnPonOltIfC15MTxJabbers,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets transmitted that were longer than 1518 octets (excluding framing bits, but including FCS octets), and had either a bad F…"
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.40,zxAnPonOltIfC15MTxMcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets transmitted that were directed to a multicast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.39,zxAnPonOltIfC15MTxNUcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets transmitted that were directed to a non-unicast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.36,zxAnPonOltIfC15MTxOctets,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval octets of data (including those in bad packets) sent on the network (excluding framing bits but including FCS octets).
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.46,zxAnPonOltIfC15MTxOversizePkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets transmitted that were longer than 1518 octets (excluding framing bits, but including FCS octets) and were otherwise well…"
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.37,zxAnPonOltIfC15MTxPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets (including bad packets, broadcast packets, and multicast packets) transmitted."
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.47,zxAnPonOltIfC15MTxPkts64Octets,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval packets (including bad packets) transmitted that were 64 octets in length (excluding framing bits but including FCS octets).
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.38,zxAnPonOltIfC15MTxUcastPkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 15 minutes interval good packets transmitted that were directed to a unicast address.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.45,zxAnPonOltIfC15MTxUndersizePkts,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,"The current 15 minutes interval packets transmitted that were less than 64 octets long (excluding framing bits,but including FCS octets) and were otherwise well…"
1.3.6.1.4.1.3902.1082.500.4.2.1.4.1.70,zxAnPonOltIfC1DCollisions,entity.zte.gpon.device.olt,read-only,SAFE,monitor,read-only,The current 1 day interval best estimate of collisions on this olt interface.
